Gender,Height (cm),Weight (Kg),Age (Year),"Index : 0 - Extremely Weak, 1 - Weak, 2 - Normal, 3 - Overweight, 4 - Obesity, 5 - Extreme Obesity",Calories Burned (kcal),Carbohydrate (g),Fiber (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg)
Female,174,96,17,4,2182,130,26,77,2333,65,200,15,75,1300,15,360,1250
Female,174,96,18,4,2176,130,26,77,2333,65,200,15,75,1300,15,360,1250
Female,174,96,19,4,2171,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,20,4,2165,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,21,4,2159,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,22,4,2154,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,23,4,2148,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,24,4,2142,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,25,4,2137,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,26,4,2131,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,27,4,2125,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,28,4,2120,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,29,4,2114,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,30,4,2109,130,25,77,2333,75,200,15,90,1000,18,310,700
Female,174,96,31,4,2103,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,32,4,2097,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,33,4,2092,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,34,4,2086,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,35,4,2080,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,36,4,2075,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,37,4,2069,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,38,4,2063,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,39,4,2058,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,40,4,2052,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,41,4,2047,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,42,4,2041,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,43,4,2035,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,44,4,2030,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,45,4,2024,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,46,4,2018,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,47,4,2013,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,48,4,2007,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,49,4,2001,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,50,4,1996,130,25,77,2333,75,200,15,90,1000,18,320,700
Female,174,96,51,4,1990,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,52,4,1984,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,53,4,1979,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,54,4,1973,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,55,4,1968,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,56,4,1962,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,57,4,1956,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,58,4,1951,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,59,4,1945,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,60,4,1939,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,61,4,1934,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,62,4,1928,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,63,4,1922,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,64,4,1917,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,65,4,1911,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,66,4,1906,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,67,4,1900,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,68,4,1894,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,69,4,1889,130,21,77,2333,75,400,15,90,1200,8,320,700
Female,174,96,70,4,1883,130,21,77,2333,75,600,15,90,1200,8,320,700
Male,189,87,12,2,2544,130,26,70,2000,45,200,11,60,1300,8,240,1250
Male,189,87,13,2,2536,130,26,70,2000,45,200,11,60,1300,8,240,1250
Male,189,87,14,2,2528,130,38,70,3000,75,200,15,75,1300,11,410,1250
Male,189,87,15,2,2520,130,38,70,3000,75,200,15,75,1300,11,410,1250
Male,189,87,16,2,2512,130,38,70,3000,75,200,15,75,1300,11,410,1250
Male,189,87,17,2,2503,130,38,70,3000,75,200,15,75,1300,11,410,1250
Male,189,87,18,2,2495,130,38,70,3000,75,200,15,75,1300,11,410,1250
Male,189,87,19,2,2487,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,20,2,2479,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,21,2,2471,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,22,2,2463,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,23,2,2455,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,24,2,2447,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,25,2,2439,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,26,2,2430,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,27,2,2422,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,28,2,2414,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,29,2,2406,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,30,2,2398,130,38,70,3000,90,200,15,120,1000,8,400,700
Male,189,87,31,2,2390,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,32,2,2382,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,33,2,2374,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,34,2,2366,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,35,2,2357,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,36,2,2349,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,37,2,2341,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,38,2,2333,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,39,2,2325,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,40,2,2317,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,41,2,2309,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,42,2,2301,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,43,2,2292,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,44,2,2284,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,45,2,2276,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,46,2,2268,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,47,2,2260,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,48,2,2252,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,49,2,2244,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,50,2,2236,130,38,70,3000,90,200,15,120,1000,8,420,700
Male,189,87,51,2,2228,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,52,2,2219,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,53,2,2211,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,54,2,2203,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,55,2,2195,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,56,2,2187,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,57,2,2179,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,58,2,2171,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,59,2,2163,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,60,2,2155,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,61,2,2146,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,62,2,2138,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,63,2,2130,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,64,2,2122,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,65,2,2114,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,66,2,2106,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,67,2,2098,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,68,2,2090,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,69,2,2082,130,30,70,3000,90,400,15,120,1200,8,420,700
Male,189,87,70,2,2073,130,30,70,3000,90,600,15,120,1200,8,420,700
Female,189,87,12,2,2140,130,31,70,2000,45,200,11,60,1300,8,240,1250
Female,189,87,13,2,2134,130,31,70,2000,45,200,11,60,1300,8,240,1250
Female,189,87,14,2,2129,130,26,70,2333,65,200,15,75,1300,15,360,1250
Female,189,87,15,2,2123,130,26,70,2333,65,200,15,75,1300,15,360,1250
Female,189,87,16,2,2117,130,26,70,2333,65,200,15,75,1300,15,360,1250
Female,189,87,17,2,2112,130,26,70,2333,65,200,15,75,1300,15,360,1250
Female,189,87,18,2,2106,130,26,70,2333,65,200,15,75,1300,15,360,1250
Female,189,87,19,2,2100,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,20,2,2095,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,21,2,2089,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,22,2,2083,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,23,2,2078,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,24,2,2072,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,25,2,2066,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,26,2,2061,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,27,2,2055,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,28,2,2050,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,29,2,2044,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,30,2,2038,130,25,70,2333,75,200,15,90,1000,18,310,700
Female,189,87,31,2,2033,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,32,2,2027,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,33,2,2021,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,34,2,2016,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,35,2,2010,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,36,2,2004,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,37,2,1999,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,38,2,1993,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,39,2,1988,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,40,2,1982,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,41,2,1976,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,42,2,1971,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,43,2,1965,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,44,2,1959,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,45,2,1954,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,46,2,1948,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,47,2,1942,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,48,2,1937,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,49,2,1931,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,50,2,1925,130,25,70,2333,75,200,15,90,1000,18,320,700
Female,189,87,51,2,1920,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,52,2,1914,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,53,2,1909,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,54,2,1903,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,55,2,1897,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,56,2,1892,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,57,2,1886,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,58,2,1880,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,59,2,1875,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,60,2,1869,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,61,2,1863,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,62,2,1858,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,63,2,1852,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,64,2,1847,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,65,2,1841,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,66,2,1835,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,67,2,1830,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,68,2,1824,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,69,2,1818,130,21,70,2333,75,400,15,90,1200,8,320,700
Female,189,87,70,2,1813,130,21,70,2333,75,600,15,90,1200,8,320,700
Male,185,110,12,4,2897,130,26,88,2000,45,200,11,60,1300,8,240,1250
Male,185,110,13,4,2889,130,26,88,2000,45,200,11,60,1300,8,240,1250
Male,185,110,14,4,2881,130,38,88,3000,75,200,15,75,1300,11,410,1250
Male,185,110,15,4,2873,130,38,88,3000,75,200,15,75,1300,11,410,1250
Male,185,110,16,4,2865,130,38,88,3000,75,200,15,75,1300,11,410,1250
Male,185,110,17,4,2857,130,38,88,3000,75,200,15,75,1300,11,410,1250
Male,185,110,18,4,2849,130,38,88,3000,75,200,15,75,1300,11,410,1250
Male,185,110,19,4,2840,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,20,4,2832,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,21,4,2824,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,22,4,2816,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,23,4,2808,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,24,4,2800,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,25,4,2792,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,26,4,2784,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,27,4,2776,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,28,4,2767,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,29,4,2759,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,30,4,2751,130,38,88,3000,90,200,15,120,1000,8,400,700
Male,185,110,31,4,2743,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,32,4,2735,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,33,4,2727,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,34,4,2719,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,35,4,2711,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,36,4,2703,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,37,4,2694,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,38,4,2686,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,39,4,2678,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,40,4,2670,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,41,4,2662,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,42,4,2654,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,43,4,2646,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,44,4,2638,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,45,4,2630,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,46,4,2621,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,47,4,2613,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,48,4,2605,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,49,4,2597,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,50,4,2589,130,38,88,3000,90,200,15,120,1000,8,420,700
Male,185,110,51,4,2581,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,52,4,2573,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,53,4,2565,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,54,4,2557,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,55,4,2548,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,56,4,2540,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,57,4,2532,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,58,4,2524,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,59,4,2516,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,60,4,2508,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,61,4,2500,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,62,4,2492,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,63,4,2484,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,64,4,2475,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,65,4,2467,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,66,4,2459,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,67,4,2451,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,68,4,2443,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,69,4,2435,130,30,88,3000,90,400,15,120,1200,8,420,700
Male,185,110,70,4,2427,130,30,88,3000,90,600,15,120,1200,8,420,700
Female,185,110,12,4,2396,130,31,88,2000,45,200,11,60,1300,8,240,1250
Female,185,110,13,4,2390,130,31,88,2000,45,200,11,60,1300,8,240,1250
Female,185,110,14,4,2384,130,26,88,2333,65,200,15,75,1300,15,360,1250
Female,185,110,15,4,2379,130,26,88,2333,65,200,15,75,1300,15,360,1250
Female,185,110,16,4,2373,130,26,88,2333,65,200,15,75,1300,15,360,1250
Female,185,110,17,4,2367,130,26,88,2333,65,200,15,75,1300,15,360,1250
Female,185,110,18,4,2362,130,26,88,2333,65,200,15,75,1300,15,360,1250
Female,185,110,19,4,2356,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,20,4,2351,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,21,4,2345,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,22,4,2339,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,23,4,2334,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,24,4,2328,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,25,4,2322,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,26,4,2317,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,27,4,2311,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,28,4,2305,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,29,4,2300,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,30,4,2294,130,25,88,2333,75,200,15,90,1000,18,310,700
Female,185,110,31,4,2288,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,32,4,2283,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,33,4,2277,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,34,4,2272,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,35,4,2266,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,36,4,2260,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,37,4,2255,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,38,4,2249,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,39,4,2243,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,40,4,2238,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,41,4,2232,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,42,4,2226,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,43,4,2221,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,44,4,2215,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,45,4,2210,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,46,4,2204,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,47,4,2198,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,48,4,2193,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,49,4,2187,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,50,4,2181,130,25,88,2333,75,200,15,90,1000,18,320,700
Female,185,110,51,4,2176,130,21,88,2333,75,400,15,90,1200,8,320,700
Female,185,110,52,4,2170,130,21,88,2333,75,400,15,90,1200,8,320,700
Female,185,110,53,4,2164,130,21,88,2333,75,400,15,90,1200,8,320,700
Female,185,110,54,4,2159,130,21,88,2333,75,400,15,90,1200,8,320,700
